Id,Input,Label
1379,-0.44826-0.80119i,3
1380,0.72371+0.43093i,1
1381,1.1479-0.72886i,1
1382,0.57301-0.87825i,1
1383,-1.676+1.157i,2
1384,1.204+0.49541i,1
1385,-0.57098-0.65929i,1
1386,0.93927-0.56764i,3
1387,-0.78086-1.3513i,2
1388,-1.2337+0.3664i,3
1389,-0.35921+0.47122i,3
1390,-0.11602-0.23613i,2
1391,-0.080993+1.4535i,1
1392,0.63647+0.41191i,3
1393,-0.75457+1.2821i,3
1394,-0.4892-0.83775i,1
1395,-0.1375-0.55892i,3
1396,0.86479+0.87449i,3
1397,0.80904+1.1952i,1
1398,0.7082+1.0181i,1
1399,0.89145+0.70246i,3
1400,-0.38576+1.5857i,2
1401,-0.98646-1.0604i,2
1402,1.1361-1.0538i,1
1403,-0.8439+0.81501i,2
1404,-1.4188+0.1955i,2
1405,-0.57444+0.80007i,2
1406,-0.80028+0.89327i,1
1407,-0.51667+1.0501i,3
1408,-0.93275-0.81284i,3
1409,-0.61395-0.73661i,3
1410,-0.89127-0.22047i,1
1411,0.70353-0.033778i,3
1412,-1.3309-0.96147i,1
1413,1.3574+0.22779i,2
1414,-1.211+0.19425i,2
1415,-0.1152+0.89985i,1
1416,-0.77284+0.48684i,1
1417,1.483-1.1443i,2
1418,-1.0887-0.71546i,3
1419,0.47014+0.90002i,2
1420,0.026794-0.1301i,3
1421,0.47571+1.043i,3
1422,1.5371-0.69051i,3
1423,1.2589-0.7804i,2
1424,0.93893+0.38998i,2
1425,0.80486-1.0267i,1
1426,0.28422-0.82193i,1
1427,-0.036201+0.13749i,2
1428,-1.499+0.52098i,2
1429,-0.41724+0.18016i,3
1430,0.35771-0.17127i,1
1431,-0.71641-0.47583i,2
1432,1.0102-1.0755i,1
1433,-0.70243-1.6172i,1
1434,-0.93944+0.91785i,1
1435,-1.0176-0.094386i,3
1436,0.36047-0.0092074i,3
1437,0.79834+0.60457i,1
1438,-0.63774+1.1211i,3
1439,-0.52788-0.75289i,1
1440,-0.60658-0.82114i,1
1441,-1.026-0.71891i,3
1442,0.87004-0.91867i,2
1443,-0.85011-1.1074i,2
1444,-0.45144-0.0068435i,1
1445,-0.055748+0.062723i,2
1446,-1.0705-0.54324i,1
1447,0.5334-0.33335i,2
1448,-0.38453-1.0383i,1
1449,1.4231+0.81859i,2
1450,0.15076-0.683i,1
1451,0.38774+0.40736i,3
1452,-1.3983+0.89385i,3
1453,1.159+0.075973i,2
1454,0.032818-0.80494i,2
1455,-0.084277+0.63937i,1
1456,0.80145+0.85296i,3
1457,0.11506+1.5465i,3
1458,-1.394+0.12563i,3
1459,-0.56912-0.19i,3
1460,-0.76401-0.28479i,2
1461,-1.5467-0.65029i,1
1462,-0.55706+0.69204i,3
1463,1.1339+0.008784i,1
1464,0.29229-0.60202i,1
1465,0.28612-0.46687i,2
1466,-0.36656-0.8997i,1
1467,-0.96629-0.82579i,1
1468,-0.6352+0.031979i,1
1469,1.2375+0.25097i,3
1470,0.49041+0.93365i,1
1471,-0.50634-0.16345i,3
1472,-0.60266+0.35363i,2
1473,-0.28537+0.34632i,1
1474,0.7621+0.70289i,1
1475,0.6043+0.42523i,2
1476,0.19311-0.33051i,3
1477,0.60396-0.28391i,1
1478,-0.84317-0.69599i,2
1479,0.60939+1.115i,2
1480,0.32291-1.79i,2
1481,-0.59098-0.39724i,1
1482,0.67981+1.2346i,3
1483,-0.70002+0.73668i,1
1484,0.14458+0.64101i,2
1485,-0.73367+0.43439i,1
1486,-0.16385-1.4733i,3
1487,0.89223-1.0811i,3
1488,0.25816+1.5804i,3
1489,-0.68753+0.86431i,1
1490,1.1834-0.4039i,2
1491,0.97009-1.0903i,2
1492,0.69516+0.033596i,2
1493,-0.77+0.01391i,3
1494,0.33948-0.2638i,3
1495,1.6107+0.47528i,2
1496,-0.852+1.1781i,2
1497,0.75789+1.2467i,1
1498,-1.2226+0.3742i,2
1499,-1.1975-0.30664i,3
1500,0.2682+0.88506i,1
