Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Label
816,0.56412+0.21512i,-0.34935+0.64027i,-0.21203+0.34668i,0.086381-0.17885i,0.12091-0.044992i,-0.938-0.57466i,0.30563-0.3457i,1.0832+0.37435i,0.051344+0.016254i,0.088255+0.58373i,-0.87728+0.31958i,1.0765-0.78259i,-0.51332-0.44794i,-0.19433+1.5362i,-0.11849-0.66842i,0.91506-0.18086i,-0.040235+0.75226i,-0.033854-0.43691i,-0.070313+0.72182i,-1.2216-0.095994i,1.114-0.76795i,-0.24605-0.28375i,-0.10496-0.21615i,0.83731+0.68538i,0.431+0.064286i,-0.67106+0.90887i,-1.3517-0.43839i,-0.12612-0.27347i,1.393-0.38387i,-0.48255+0.10963i,0.46649+0.82639i,-0.63562-0.026926i,0.59173-0.50437i,0.63198+0.14347i,-0.95061+1.0168i,-0.4268-0.31046i,-0.16944-0.28827i,0.2508+0.21795i,0.077467-0.11263i,-0.90706+0.20387i,1.8165-0.55699i,-0.24287+0.030325i,-1.1564+0.70206i,0.73724-0.93674i,-0.63734+0.2473i,0.87019-0.26918i,0.34008+0.11811i,-1.1513-0.10576i,1.1428-0.37958i,-0.59138+1.0571i,-0.99734-0.25772i,0.74777+0.023411i,-0.48326+0.27519i,0.63103+0.041097i,0.13685-0.81859i,-0.7284-0.3706i,0.5831+0.16466i,-0.74936+0.76804i,0.38263-1.2442i,0.29458+1.0764i,-0.4449-1.2986i,1.4805+0.48708i,0.00094956+0.48234i,-0.77623+0.26407i,0.8519-0.38834i,-1.1709+0.019222i,0.92407+0.0085129i,-0.23657+0.8907i,0.23502+0.14339i,-0.27865+0.60336i,0.83145-1.0275i,-0.7802-0.38326i,0.3558+1.4204i,-0.54173-1.7517i,0.22235+1.5117i,-0.45223-1.2585i,1.5706+0.32052i,-0.076424+0.15539i,0.23363+0.42073i,-0.62074-0.68123i,-0.18127+1.0463i,-0.69665-0.61961i,1.2837-0.23991i,-0.35999+0.7457i,0.67663-0.47512i,-0.13674+0.16062i,0.43739+0.2787i,-1.1762+0.049385i,0.46133-0.47475i,-0.79539+0.43572i,0.050921+0.35136i,1.4645-0.74179i,-0.70648-0.55064i,-0.61523+0.11322i,1.0598+0.59818i,0.48735-0.14558i,-0.12276+0.16792i,-0.23761-0.14412i,-0.045133+0.20035i,-1.0555+0.31162i,0.69625-0.37103i,3
817,-0.13039-0.74563i,0.3216+1.3053i,-0.092534+0.14192i,-0.090928+0.16536i,-0.061255+0.18048i,-0.28529-1.2647i,0.066006-0.16375i,0.10799-0.16141i,0.90619+0.46604i,-0.40049+0.93381i,-0.090727+0.17747i,-0.052532+0.15635i,-0.060897+0.13672i,-0.87195-0.48854i,0.48217-0.87893i,0.3602+1.2868i,-0.89948-0.45298i,0.69179+0.542i,-0.32024-1.2712i,0.89691+0.44947i,-0.43397+0.93913i,-0.33765-1.2782i,-0.56779+0.69988i,0.40741-0.92372i,-0.53406+0.68314i,0.451-0.91257i,0.13586-0.17637i,0.093302-0.17037i,0.94115+0.41975i,0.15418+0.091974i,-1.304+0.31632i,1.2494-0.34411i,0.18236+0.084324i,-0.71013-0.50574i,0.078929-0.13754i,0.88968+0.42041i,-1.2716+0.32782i,0.4297-0.8847i,-0.51634+0.6922i,0.41463-0.95333i,0.89266+0.43195i,-1.2505+0.30565i,0.68972+0.57108i,0.54891-0.67504i,-0.45068+0.89978i,-0.053721+0.1875i,-0.30313-1.2576i,0.28569+1.275i,-0.93024-0.45384i,0.46633-0.92195i,-0.52912+0.67336i,1.2564-0.30708i,-0.67112-0.50947i,0.90864+0.43475i,-0.45911+0.92787i,-0.33271-1.2855i,0.92448+0.42791i,-0.43074+0.88455i,0.50726-0.6928i,-1.2327+0.26865i,0.42039-0.93836i,0.31637+1.2357i,-0.037577+0.18407i,0.54021-0.6712i,-0.41735+0.92827i,-0.90256-0.43355i,0.65018+0.50703i,0.49751-0.6748i,-0.45995+0.90053i,-0.06398+0.16519i,-0.047072+0.16941i,-0.070345+0.17524i,-0.90017-0.40778i,-0.15232-0.027493i,-0.17001-0.059635i,0.67165+0.49869i,-0.31527-1.2502i,0.88337+0.42732i,-1.258+0.33683i,-0.15075-0.0713i,1.2672-0.29803i,-0.71195-0.53356i,0.89877+0.45508i,-0.67873-0.55317i,0.85115+0.4386i,-0.43162+0.92412i,-0.91541-0.43926i,0.6777+0.49103i,-0.070229+0.16317i,-0.082678+0.17982i,0.53792-0.70222i,-0.43631+0.89116i,-0.36823-1.262i,0.32804+1.3371i,-0.056158+0.16982i,0.52576-0.67233i,-0.69875-0.52032i,0.91817+0.44099i,-0.40065+0.88961i,-0.079492+0.11639i,-0.19857-0.56087i,1
818,-0.69907+0.091336i,-0.17387-0.083181i,-0.19085-0.043547i,-0.13853-0.070311i,1.26-0.30619i,0.15525+0.11776i,0.17856+0.090613i,0.12151+0.085942i,-1.2687+0.31969i,0.70354+0.52055i,-0.072255+0.087561i,0.53394-0.69405i,0.18549+0.044409i,-1.3367+0.31319i,0.42859-0.88326i,0.9155+0.46943i,0.17613+0.062433i,-1.2785+0.29162i,0.7134+0.51357i,-0.94018-0.41116i,1.3126-0.2981i,-1.2646+0.33778i,0.70722+0.48597i,-0.29937-1.2724i,-0.53225+0.67473i,0.41553-0.9155i,0.91143+0.46851i,0.15616+0.056615i,-1.3248+0.28838i,1.2676-0.32751i,-1.3102+0.30727i,1.3211-0.27399i,-0.44588+0.87845i,-0.082859+0.16008i,0.57495-0.64457i,-0.43104+0.90144i,-0.28736-1.2547i,-0.52451+0.64835i,0.641+0.55916i,-0.021895+0.16485i,-0.042707+0.15687i,0.55616-0.66287i,0.1418+0.050935i,0.13123+0.095291i,0.184+0.090552i,-1.3055+0.29982i,0.68744+0.51355i,-0.069749+0.14302i,-0.093007+0.16698i,0.53516-0.69315i,-1.297+0.3245i,0.40592-0.8951i,0.10989-0.16853i,0.9051+0.41442i,-0.44113+0.93255i,-0.31488-1.2781i,0.32014+1.2863i,-0.3258-1.2682i,-0.51449+0.7225i,0.42742-0.93024i,0.94888+0.43561i,-1.2725+0.31586i,-0.1369-0.06688i,-0.16242-0.090165i,0.44441-0.95255i,0.03908-0.15281i,0.26948+1.2654i,-0.29744-1.2794i,-0.55346+0.68807i,0.65378+0.50781i,-0.065514+0.14503i,-0.072964+0.15747i,-0.30743-1.2755i,0.92422+0.44258i,-1.2698+0.33176i,0.41412-0.90044i,-0.5114+0.65446i,0.70226+0.5544i,-0.93617-0.44827i,1.2871-0.31515i,-0.44984+0.93097i,-0.088153+0.1734i,-0.30717-1.2918i,0.05299-0.15629i,0.13032-0.18535i,0.3047+1.2422i,-0.10088+0.18219i,-0.33489-1.3135i,0.94374+0.45618i,0.15776+0.052167i,0.16369+0.09868i,-0.44644+0.92786i,0.53705-0.6969i,0.15753+0.11334i,-0.68039-0.57356i,-0.52092+0.68404i,0.70817+0.55305i,-0.92961-0.47238i,0.4356-0.91151i,-0.51445+0.68277i,0.56233-0.20632i,1
819,0.44797+0.70044i,-1.0633-1.0733i,0.44923-0.43026i,0.41141+0.93219i,-1.1742-0.16585i,0.2169+0.43338i,0.40506-1.5083i,-0.50753+0.69618i,0.62366-0.39087i,-0.9948+0.31364i,0.12735-0.14138i,0.36139-1.1154i,-0.44814+0.9662i,0.20596+0.15412i,7.6874e-05-1.2634i,0.79846+1.4465i,-0.64175-1.5924i,-0.071823+0.42368i,-0.75889+0.48375i,1.6556-0.43495i,-0.42401+1.026i,-0.041227-0.6103i,-0.73509+0.28621i,-0.55366-0.27509i,1.6918-0.46506i,-1.4764+0.4712i,0.63052+0.76437i,-0.075773-1.4327i,0.45116+0.13469i,-0.60862+0.27363i,0.47886-0.79702i,0.53895+0.12329i,0.47511+0.7309i,0.070472-0.50002i,-1.4173+0.75465i,0.97638-0.57751i,-0.90083-0.19971i,1.1782-0.37179i,-0.69832+0.40863i,-0.26826+0.27728i,1.0025+0.26834i,0.033045+0.16857i,0.11263-0.30764i,-0.70886-1.0094i,-0.081453+1.2418i,0.093462+0.42699i,0.021255+0.25744i,-0.092375-1.4176i,0.62396+0.28428i,-0.45335-0.66727i,0.32992+1.8698i,-0.49059-1.1609i,-0.39307+0.4671i,-0.48693-0.29685i,0.44276-0.26689i,0.31208+0.98866i,0.47325-0.22733i,-1.092-0.911i,0.54412+0.51777i,-0.02113+0.030226i,0.31948-0.020196i,-0.01682+0.57538i,-1.4171-0.25532i,-0.11008-0.29368i,1.0963+0.78004i,-1.1218-0.26616i,0.45738+0.23158i,-0.57174+0.063397i,-0.22579+0.046898i,0.11282+0.023091i,0.72293-0.71983i,-0.81156+1.0263i,-0.74481-0.29601i,0.8141+0.42939i,-0.50187-1.1971i,-0.29111+1.0119i,0.055193-0.65508i,-0.82532+0.21172i,0.68938-1.3844i,-0.023564+0.75024i,-0.47176+0.18537i,1.1327-0.81786i,-1.4758+0.7141i,0.20776-0.36041i,0.93896+0.67933i,-1.3622-0.21033i,1.1318+0.34066i,-0.014668-0.62577i,0.34071+0.18377i,-0.76106+0.60673i,-0.44759+0.13347i,0.23983-0.19615i,0.33372+0.29848i,-0.83557-0.69537i,-0.13538-0.40797i,1.056+0.91841i,-0.17615-0.25983i,-0.46594-0.3085i,-0.14311+0.13588i,0.48638-0.78074i,-0.057988+0.70452i,3
820,0.71267+0.19704i,-1.0249-0.67099i,-0.028485-0.16985i,0.083029+0.45349i,0.447-0.74852i,0.61354+0.80195i,-0.37355-0.81319i,0.35954+1.1839i,-0.73441-0.36306i,-0.066851-0.0063002i,0.69177+0.50239i,-0.37088-0.083608i,-0.29452+0.47136i,-0.097631+0.10129i,-0.92768-0.39903i,0.42304-0.17628i,0.5742-0.15673i,-0.92452-0.14207i,-0.094657-0.13263i,0.022277+0.48451i,0.19549-1.3652i,0.55113+0.70474i,-0.10808+1.03i,-0.28816-1.0849i,-0.63354+0.040048i,0.0040517+0.49743i,0.9766-0.83826i,-1.1425+0.21359i,1.1939-0.36467i,-1.3901+0.55847i,1.2163+0.32846i,-0.4606-0.74405i,-0.55707+0.012162i,0.83622-0.64505i,0.3393+1.1875i,-0.58343-1.3804i,-0.34034+1.1784i,1.1241-0.17144i,-1.2655-0.28988i,1.3105+0.27515i,-0.39295+0.91771i,-0.11265+0.1809i,0.33049-1.179i,0.54171+0.27356i,-1.4351+0.026028i,0.43563-0.88574i,-0.45577+0.53109i,0.89039+0.05284i,-0.020064-0.57136i,0.22247+0.55763i,0.47464+0.29335i,0.097235+0.17549i,-0.89844-0.0066615i,0.43142+0.8968i,-0.8753-0.33081i,0.61706-1.1268i,0.11758-0.1131i,-0.59445+1.0157i,0.26518-1.3776i,0.8556+0.36581i,-0.7141+0.48399i,0.81529-0.59601i,-0.57827-0.5495i,0.45627+0.052782i,-0.79272+0.35271i,0.89048+0.03946i,-0.44553+0.78432i,0.24828+0.37308i,-0.057399+0.21776i,0.32278-1.177i,-0.98817+0.88033i,0.81773+0.20052i,-0.23956+0.55674i,-0.85937-0.35535i,0.70118-0.4572i,0.0054521-0.58009i,-0.01627+0.92914i,0.32793+0.35702i,-0.36975-0.16341i,0.06625+0.72774i,0.34774-1.1726i,-0.26854+1.3936i,0.34841-1.1898i,0.16693+0.0061887i,-0.45011+0.1217i,1.0491+0.11088i,-0.38173+0.17135i,0.4664+0.31131i,-0.6397-0.41839i,0.3083-0.42634i,0.4969+0.15473i,-1.1055+0.20111i,0.77236+1.0487i,0.33295-1.1922i,-1.0018+0.86206i,-0.5703-0.27349i,1.1227-0.30398i,-0.5736+0.080069i,0.30827+0.25501i,0.067194+0.7329i,-0.26282-0.72231i,2
821,0.4449+0.59097i,-0.99679+0.0096146i,0.60948+0.51955i,-0.42678-1.708i,0.21414+0.43492i,0.1622+0.58274i,-0.048488+0.029016i,0.32836+0.34784i,-1.1126-0.64313i,0.7545+1.0556i,-0.10015+0.22568i,-0.10284+0.25069i,0.43283-0.52986i,-0.27215-0.12779i,0.060563+0.036356i,-0.32269-0.21925i,1.0389+0.073894i,-1.0817+0.30274i,-0.74061+0.075948i,1.4655-0.11144i,-1.1952+0.38269i,1.3478-0.57813i,-1.4589+0.063508i,0.93671+0.046369i,-0.4937+0.79606i,0.73107-1.0004i,-0.37799+0.75679i,-0.78548-0.47385i,-0.3504+0.22411i,0.44205-0.18641i,-0.15739-0.67334i,1.0144-0.029514i,-0.62494+1.079i,0.31845-1.2727i,-0.25651+1.2552i,0.28776-1.2545i,-0.67148+1.0238i,0.11161-0.35208i,0.45461-0.78442i,0.58835+0.75634i,0.37267-0.22804i,-1.3034+0.67326i,0.27097-1.365i,0.038534+1.4693i,-0.8872-0.42674i,1.734-0.40535i,-0.8768-0.73013i,-0.17192+0.15773i,-0.19185+0.88623i,0.24144-1.371i,0.076152+1.4231i,-0.32248-1.1835i,-0.27923+0.18606i,-0.34324+0.23966i,1.3409-0.64778i,-0.21223-0.29554i,0.24501+0.51922i,-0.066739-0.6168i,0.34583+1.2002i,0.019742+0.1869i,-0.69407+0.2878i,0.65867-1.0132i,-0.40206+0.73371i,-0.30358+0.43481i,0.040944-0.93652i,0.33484-0.42974i,-0.54775-0.017916i,-0.49134+0.57756i,0.11212+0.15714i,0.0029015-1.0132i,-0.55194+0.57723i,0.93383-0.89963i,0.31031+1.1859i,-0.80606-1.0308i,-0.18493+0.82483i,-0.15719-0.02451i,0.35241-0.7028i,0.28567-0.43724i,0.60413+0.79448i,-0.5174+0.25105i,-0.161-0.57299i,-0.089493-0.7523i,0.17438+0.42121i,0.15217+0.58496i,-0.52291-0.87035i,0.72121+0.36575i,-0.28761-0.22389i,0.13663+0.53324i,-0.14428-0.54405i,0.37196+0.18998i,-0.85355+0.52785i,1.1006-0.23822i,-0.92595-0.018803i,1.1902-0.25693i,-0.9644+0.95078i,-0.27116-0.56441i,-0.67342+0.054547i,0.95186-0.96664i,-0.013112+0.8907i,-0.39404-0.19278i,0.25208-0.077616i,2
822,-0.60306+0.26886i,0.69199+0.32267i,-0.15539-0.80954i,0.071317-0.075395i,-0.61241-0.24238i,0.54357+0.48706i,0.14622+0.99565i,-0.059516-1.6844i,-0.17621+1.5629i,-0.90782-0.36488i,-0.070379+0.11605i,0.44567-0.97024i,-0.67458+0.484i,0.61267-1.1488i,-0.31428+0.024443i,0.48466+0.65794i,-0.42694+0.58011i,0.72832-0.37047i,-1.3953+0.20319i,0.31056-0.76578i,0.36649+1.2282i,-0.067385-1.3772i,-0.52299-0.014376i,0.69034-0.49033i,-0.33871+0.5389i,0.82041+0.30045i,-0.67274-0.41376i,0.086395+1.0664i,0.42364-1.399i,0.074795+0.41077i,0.28445+0.10761i,-0.81254+0.51424i,0.16841+0.0063677i,1.0232-0.26975i,-0.95935-0.97385i,0.28723-0.12868i,-0.45557+0.19935i,1.2388-0.10377i,-0.84068-0.41875i,0.89364+0.91826i,-0.31631+0.71857i,0.87533-0.79343i,-1.3217+0.36767i,-0.043495-0.54356i,-0.097069+0.67926i,0.88575+0.1508i,-1.2526+0.13652i,1.1213-0.69335i,-1.3782+0.28196i,0.5691-1.2115i,0.87779+1.3563i,-0.49996-0.16746i,-0.44905+0.29384i,0.56991+0.57291i,-0.00078368-1.3626i,-0.42672+0.82001i,-0.7665-0.18722i,0.85203+0.34991i,-0.56861+0.035745i,0.65804+0.5605i,-0.107-0.89047i,-0.66207-0.52055i,0.60653+1.6303i,0.53059-0.70243i,0.13633+0.15725i,-1.1134-0.43211i,0.54421+1.3665i,0.0045895+0.082843i,0.18065-0.11686i,-1.1969-0.36829i,0.24855+0.13376i,0.19735-1.2051i,0.80552+0.81791i,-0.19596+0.16141i,-0.20788+0.41093i,-0.84041-0.73871i,1.2936+0.22999i,0.41872+0.047926i,-0.66813+0.60607i,-0.40797-0.13221i,-0.077429-0.78709i,0.029471-0.1515i,0.25627+1.1182i,0.31054-1.2736i,-0.48259+0.81016i,-0.8927-0.028327i,0.71006-0.2424i,0.82658-0.50818i,0.057361+0.19111i,-0.93306+0.3666i,0.71655-0.02992i,0.2296+0.18298i,0.4365-0.4594i,-1.5524+0.21595i,1.7898-0.1528i,-1.34+0.057427i,0.33417+0.48141i,-0.10363-1.109i,-0.41112+0.54869i,0.68344-0.062283i,-0.10179+0.058711i,3
823,0.7762-0.45552i,-1.2131+0.065998i,1.0484+0.95191i,-0.69019-0.78185i,0.44007+0.79008i,0.17018+0.28343i,-0.42227-1.1792i,-0.3775+0.60082i,0.15169-0.43221i,0.21069+0.34452i,-0.75581+0.32959i,0.97854-0.86866i,0.44527-0.070541i,-0.60542+0.023243i,-0.089146+0.080489i,0.57783+0.57075i,-0.17337-0.27293i,-0.46414-0.07178i,1.0865+0.24378i,-0.82226-0.85258i,0.20397+1.5903i,-0.69289-0.97749i,0.60449-0.69136i,-0.72142+0.29568i,0.79313+1.2984i,-0.014869-1.0467i,-0.55036-0.70498i,-0.050702+0.77222i,0.33195+0.79969i,-0.37945-1.852i,0.42812+0.49342i,0.62675+0.31644i,-0.54511-0.14622i,-0.46612+0.20156i,0.92174-0.71262i,-0.19991+0.51265i,0.21865+0.92746i,0.17031-1.2732i,0.39444+0.39006i,-1.0249-0.22283i,-0.38112-0.10829i,1.0151+0.62342i,-0.44255+0.052813i,-0.6035-0.33234i,0.72448+1.0486i,-0.011793-1.0175i,-0.0086686-0.28448i,-0.82666+0.1023i,0.81524+0.44953i,-0.76116+0.3953i,0.76336-0.93936i,-0.39857-0.37569i,-0.11167+0.79304i,-0.13674-0.31746i,0.75226+0.7396i,-1.2842-0.71114i,0.080369-0.014632i,0.6217+0.39421i,-0.49385+0.33756i,0.25074-1.5824i,0.64012+1.0545i,0.23419+0.22891i,-0.42125+0.082127i,0.42218-0.46412i,-1.545+0.49171i,1.2843+0.46237i,-0.34114-0.89713i,-1.0207+0.31918i,1.0786+0.50637i,-0.42471-0.39045i,0.10666+0.63261i,-0.75398-0.09946i,-0.2445-0.36566i,1.3666-0.33396i,-0.97869+0.95575i,0.98726-0.728i,-0.90289-0.7057i,-0.064598+0.27186i,0.41234-0.37771i,-0.29425+0.43914i,0.4126-0.80196i,0.81728+0.90135i,0.2307-0.33929i,-0.4809-0.16447i,0.075286+1.5587i,-0.76297-0.7441i,0.91191+0.12225i,-1.2454+0.022352i,0.88137-0.7216i,0.16495+1.0206i,-0.86602-1.0028i,0.20081-0.54252i,0.73896+0.013913i,-0.34174+0.64028i,0.43912-0.27719i,-0.51185+0.081058i,-0.56714-0.13806i,-0.050185+0.47097i,-0.13235-0.52213i,0.41477+0.31168i,0.0056771-0.31314i,3
824,-0.12513-0.71399i,0.89868+0.4253i,-1.311+0.31951i,0.45698-0.90346i,0.10435-0.1422i,0.30725+1.2465i,0.50986-0.685i,-1.2529+0.33794i,0.69438+0.53377i,0.48581-0.65735i,0.14906+0.069451i,0.19392+0.060883i,-0.67675-0.55775i,0.9063+0.46522i,-1.2618+0.31942i,1.2836-0.34777i,0.18145+0.10805i,-0.65238-0.53895i,0.045514-0.092045i,0.94128+0.45735i,0.17132+0.029398i,-0.66411-0.55625i,0.92226+0.40224i,0.18908+0.036143i,-1.2745+0.30634i,0.70112+0.51565i,-0.29488-1.2738i,0.34428+1.2719i,-0.3398-1.2819i,-0.49849+0.65915i,-0.172-0.072499i,-0.16673-0.049601i,-0.14711-0.033228i,1.2856-0.32107i,-1.2727+0.29616i,0.41665-0.92781i,0.049226-0.1656i,0.29556+1.234i,-0.93962-0.43809i,0.70054+0.5558i,-0.3334-1.2503i,0.90313+0.42472i,-0.66747-0.53712i,0.88255+0.44771i,0.1371+0.043725i,0.11241+0.064087i,-0.69879-0.50541i,0.054864-0.13489i,0.31942+1.2564i,0.50564-0.6995i,0.16315+0.052148i,-0.38798+0.90121i,-0.88619-0.42037i,-0.14511-0.074452i,1.2379-0.31235i,-0.63958-0.50851i,0.90962+0.43382i,-1.2743+0.35128i,1.27-0.30185i,-0.45702+0.91116i,-0.3071-1.284i,0.09293-0.17754i,0.10567-0.12431i,0.063097-0.14662i,-0.49752+0.67385i,-0.13329-0.066727i,1.2695-0.35409i,-1.2767+0.32661i,-0.23485-0.072591i,1.2711-0.3074i,-0.41509+0.84097i,-0.28319-1.279i,0.91045+0.43097i,-0.71806-0.55276i,0.08238-0.14357i,0.96232+0.45369i,0.13935+0.033125i,-1.28+0.29159i,0.65416+0.50905i,0.54542-0.67771i,0.15422+0.062173i,-1.2463+0.28643i,1.2648-0.31257i,0.14342+0.070106i,-1.2699+0.35243i,0.40568-0.94705i,0.32776+1.2253i,-0.083295+0.1568i,-0.043696+0.17412i,-0.31557-1.2437i,0.9297+0.4199i,0.14+0.07271i,-1.2777+0.34088i,1.2459-0.27089i,0.19426+0.054309i,-0.64434-0.526i,0.061871-0.15423i,0.3168+1.2601i,0.52544-0.672i,0.094078+0.075639i,-0.55098+0.1688i,1
825,-0.12004-0.74052i,0.88867+0.40064i,0.17716+0.094733i,-0.44195+0.94602i,-0.066854+0.11821i,-0.30363-1.2901i,0.89948+0.43315i,0.16356+0.071526i,-0.40546+0.91057i,-0.29803-1.2441i,0.30936+1.3106i,-0.89554-0.44748i,0.68576+0.51138i,-0.069788+0.1638i,-0.33185-1.2694i,0.31852+1.2982i,-0.066113+0.14717i,0.54897-0.68257i,0.14559+0.045834i,-1.2992+0.32325i,-0.15923-0.071223i,-0.11788-0.091625i,1.3068-0.28461i,0.20618+0.069521i,-0.69642-0.53941i,0.26688+1.2714i,-0.069709+0.14783i,-0.076669+0.13085i,0.51994-0.68519i,0.16592+0.12382i,-1.2693+0.34346i,0.48463-0.9718i,0.068667-0.16754i,0.28985+1.3321i,-0.062964+0.17638i,-0.89275-0.39299i,0.47434-0.90626i,-0.51977+0.70061i,-0.14181-0.068109i,1.2629-0.3068i,-0.70369-0.49136i,-0.51628+0.67811i,0.40049-0.90514i,0.3324+1.2943i,0.51914-0.68725i,-0.4173+0.90092i,-0.90869-0.44806i,0.65392+0.47404i,0.52908-0.69644i,-0.42859+0.95845i,-0.31558-1.3147i,0.27443+1.2416i,-0.29467-1.2608i,0.10191-0.13616i,0.32412+1.2542i,-0.31507-1.2771i,0.90241+0.4743i,-1.2645+0.32821i,-0.15815-0.031781i,0.67864+0.52249i,-0.30475-1.2845i,0.91282+0.43822i,0.14365+0.045683i,-0.4405+0.90772i,-0.32162-1.2778i,0.07644-0.12425i,0.0040862-0.17979i,0.87969+0.43775i,-0.42112+0.90498i,-0.0856+0.17368i,0.50364-0.66185i,-0.69822-0.52876i,0.10289-0.1685i,0.30483+1.2229i,0.56212-0.71006i,0.14375+0.075014i,-0.68796-0.53198i,0.30801+1.2611i,-0.35012-1.2441i,0.32008+1.2727i,-0.077061+0.15333i,-0.030838+0.10418i,-0.89478-0.46647i,1.2738-0.34049i,-0.6827-0.56235i,0.10911-0.16684i,0.2997+1.213i,0.55184-0.69793i,-0.41207+0.88621i,0.54081-0.73037i,-0.42318+0.92218i,-0.88986-0.42886i,0.66306+0.52021i,0.50366-0.65911i,0.15585+0.08194i,0.14225+0.063226i,0.1488+0.057925i,-0.71712-0.52139i,0.072988-0.15583i,-0.49706+0.65479i,0.57327-0.21897i,1
826,0.59093-0.28039i,-0.44385+1.2265i,0.47842-0.24295i,-0.78462-0.94847i,0.53145-0.096481i,-0.26176+0.79619i,0.59909-0.88182i,-0.81408+0.2522i,0.47334+1.0642i,-0.2323-0.40765i,-0.36273+0.13234i,-0.43221-0.73359i,1.2971+0.26737i,-0.30861-0.47656i,0.40344-0.12268i,-0.34827+1.4669i,-0.86151-0.29793i,-0.15658-0.49445i,1.3034-0.17082i,-0.0046757-0.047893i,-0.46257-0.72844i,-0.12219+0.5048i,0.88002+0.24728i,-0.58427-0.063437i,-0.11-0.66521i,0.18752+1.5731i,0.016192+0.34476i,-0.13394-0.874i,0.18294+0.65934i,-0.88381+0.14776i,0.85828-0.33771i,-1.0461-0.635i,0.12948+0.83149i,0.6+0.54427i,-1.106-0.23159i,-0.021712-0.18788i,1.5596-0.498i,-0.19488+0.36516i,0.29212+0.20845i,-0.072546-0.30648i,0.15774+0.019397i,-0.15951+0.094123i,-0.45925-0.38236i,-0.25854+0.21417i,1.0127+0.68944i,-1.4439-0.37241i,1.1101-0.017085i,-1.124-0.21076i,0.83211+0.86036i,-0.46861-0.4368i,-0.38574-0.29461i,0.67608+0.74625i,0.04428-0.010168i,-0.50509-0.77339i,-0.62772+0.0083966i,0.59823-0.41835i,-0.19919+0.23451i,-0.34565-0.024764i,0.24608-0.65835i,0.71624+0.075271i,0.51737+0.2444i,-0.91355+0.1253i,0.49369+0.32989i,-0.57055+0.51838i,0.31362-0.93417i,-0.56932+0.89769i,0.13744-1.623i,1.4371+0.64942i,-0.63294-0.23076i,-1.0002+0.73184i,0.95034-0.61475i,-0.53894+0.11808i,0.045722-0.56335i,-0.17667+0.52986i,-0.34155-0.48704i,0.39109-0.069535i,-0.62093-0.012349i,0.52856+0.8838i,0.29924-0.052748i,-0.33863+0.24077i,0.24644+0.032458i,-0.16168+0.34113i,-0.52254-1.4893i,-0.35744+1.136i,0.93558-1.1399i,-0.24478+1.2751i,-0.5244-0.47454i,0.28662-0.58668i,0.95514+0.21749i,-0.55339-0.45033i,-0.6026+0.55112i,0.27009+0.13586i,0.46982-0.49073i,-0.29788+0.53095i,0.25867-0.78408i,0.1117+1.5351i,0.19769-0.17042i,0.28529-0.95904i,-0.26427+1.3642i,-0.75627+0.030353i,0.1338-0.55782i,3
